,house_id,address,price,tax_assessed_price,bedrooms,bathrooms,living_sqft,lot_sqft,lot_unit,days_on_zillow,price_change,date_price_change,zestimate,rent_zestimate,home_status,home_type,non_owner_occupied,preforeclosure_auction,premier_builder,marketing_status,broker,country_currency,date_extracted
0,86489292,"701 N 16th St, Harrisburg, PA 17103",165000.0,94600.0,5.0,2.0,2817.0,2614.0,sqft,40,-35000.0,2025-08-09,,1955.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Howard Hanna Company-Carlisle,$,2025-08-17
1,86428056,"205 Berry Dr, Harrisburg, PA 17112",297500.0,97900.0,3.0,2.0,1579.0,0.73,acres,16,-2500.0,2025-08-15,296700.0,1940.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Iron Valley Real Estate of Central PA,$,2025-08-17
2,93624496,"450 Piketown Rd, Harrisburg, PA 17112",400000.0,185200.0,3.0,1.0,2506.0,8.81,acres,0,,,393100.0,1931.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,"Joy Daniels Real Estate Group, Ltd",$,2025-08-17
3,450804262,"1071 Manada Bottom Rd, Harrisburg, PA 17112",250000.0,136300.0,3.0,2.0,1272.0,5.22,acres,75,-15000.0,2025-08-11,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,BrokersRealty.com World Headquarters,$,2025-08-17
4,86448846,"725 Rockford Dr, Harrisburg, PA 17112",368000.0,130400.0,4.0,3.0,2701.0,0.31000918273645545,acres,4,,,366600.0,2612.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Coldwell Banker Realty,$,2025-08-17
5,86465614,"331 Short St, Steelton, PA 17113",275000.0,90900.0,3.0,3.0,3079.0,0.3399908172635445,acres,51,-15000.0,2025-08-01,273800.0,1610.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Howard Hanna Company-Harrisburg,$,2025-08-17
6,86448189,"5596 Banbridge Dr, Harrisburg, PA 17112",300000.0,127500.0,4.0,2.0,1887.0,0.28999081726354453,acres,4,,,330800.0,1986.0,FOR_SALE,SINGLE_FAMILY,True,False,False,Coming Soon,"For Sale By Owner Plus, REALTORS",$,2025-08-17
7,86481591,"4800 Etta Rd, Harrisburg, PA 17111",289900.0,98000.0,3.0,2.0,1920.0,8712.0,sqft,93,,,290700.0,1581.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams of Central PA,$,2025-08-17
8,86458042,"3504 Hickory Hollow Rd, Harrisburg, PA 17112",539900.0,218800.0,3.0,3.0,2544.0,1.0,acres,3,,,494000.0,2898.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams of Central PA,$,2025-08-17
9,86458072,"4007 Pine Needles Dr, Harrisburg, PA 17112",650000.0,287100.0,5.0,5.0,4350.0,1.0,acres,2,,,636100.0,4157.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,"EXP Realty, LLC",$,2025-08-17
